Sample in Buffer,Sample in Window,TRIGGER,u_ila_0_csi_to_axis_0_data_err[1:0],u_ila_0_packet_id_dbg[7:0],u_ila_0_merge_data_dbg[15:0],u_ila_0_parse_data_dbg[15:0],user_probe_0[1:0],u_ila_0_packet_size_dbg[15:0],u_ila_0_align_valid_dbg[1:0],u_ila_0_dl1_datahs[7:0],u_ila_0_transfer_cnt_dbg[15:0],u_ila_0_dl0_datahs[7:0],u_ila_0_align_data_dbg[15:0],u_ila_0_align_resync_dbg,u_ila_0_dl0_rxactivehs,u_ila_0_dl0_rxsynchs,u_ila_0_frame_start_dbg,u_ila_0_line_start_dbg,u_ila_0_merge_resync_dbg,u_ila_0_merge_valid_dbg,u_ila_0_packet_id_upd_dbd,u_ila_0_parse_last_dbg,u_ila_0_parse_user_dbg,u_ila_0_parse_valid_dbg
0,0,0,0,00,ff4f,ff4f,1,00b6,00,00000000,0000,00101100,1111111101001111,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,00,ff4f,ff4f,1,00b6,00,00000011,0000,10111001,1111111101001111,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,00,ff4f,ff4f,1,00b6,00,00000110,0000,01100100,1111111101001111,0,0,0,0,0,0,0,0,0,0,0
3,3,0,0,00,ff4f,ff4f,1,00b6,00,00001000,0000,11001001,1111111101001111,0,0,0,0,0,0,0,0,0,0,0
4,4,0,0,00,ff4f,ff4f,1,00b6,00,00110000,0000,10010010,1111111101001111,0,0,0,0,0,0,0,0,0,0,0
5,5,0,0,00,ff4f,ff4f,1,00b6,00,01100000,0000,01001011,1111111101001111,0,0,0,0,0,0,0,0,0,0,0
6,6,0,0,00,ff4f,ff4f,1,00b6,00,10000000,0000,10010110,1111111101001111,0,0,0,0,0,0,0,0,0,0,0
7,7,0,0,00,ff4f,ff4f,1,00b6,00,00000000,0000,00101100,1111111101001111,0,0,0,0,0,0,0,0,0,0,0
8,8,0,0,00,ff4f,ff4f,1,00b6,00,00000011,0000,10111001,1111111101001111,0,0,0,0,0,0,0,0,0,0,0
9,9,0,0,00,ff4f,ff4f,1,00b6,00,00000110,0000,01100100,1111111101001111,0,0,0,0,0,0,0,0,0,0,0
10,10,0,0,00,ff4f,ff4f,1,00b6,00,00001000,0000,11001001,1111111101001111,0,0,0,0,0,0,0,0,0,0,0
11,11,0,0,00,ff4f,ff4f,1,00b6,00,00110000,0000,10110010,1111111101001111,0,0,0,0,0,0,0,0,0,0,0
