Sample in Buffer,Sample in Window,TRIGGER,u_ila_1_transfer_cnt_1[1:1],i_system_wrapper/system_i/csi_to_axis_0/U0/parser_inst/transfer_cnt[2:2],u_ila_1_transfer_cnt[15:3],i_system_wrapper/system_i/csi_to_axis_0_m_axis_tdata[31:0],i_system_wrapper/system_i/axis_data_fifo_0_M_AXIS_TDATA[31:0],i_system_wrapper/system_i/csi2_d_phy_rx_0_RX_MIPI_PPI_DL3_RXDATAHS[7:0],i_system_wrapper/system_i/csi2_d_phy_rx_0_RX_MIPI_PPI_DL2_RXDATAHS[7:0],i_system_wrapper/system_i/csi2_d_phy_rx_0_RX_MIPI_PPI_DL0_RXDATAHS[7:0],u_ila_1_axis_data_fifo_0_axis_data_count_1[11:0],u_ila_1_axis_data_fifo_0_axis_data_count_2[11:11],u_ila_1_axis_data_fifo_0_axis_data_count_3[11:11],u_ila_1_axis_data_fifo_0_axis_data_count_4[11:11],u_ila_1_axis_data_fifo_0_axis_data_count_5[11:11],u_ila_1_axis_data_fifo_0_axis_data_count_6[11:11],u_ila_1_axis_data_fifo_0_axis_data_count_7[11:11],u_ila_1_axis_data_fifo_0_axis_data_count_8[11:11],u_ila_1_axis_data_fifo_0_axis_data_count_9[11:11],u_ila_1_axis_data_fifo_0_axis_data_count_10[11:11],u_ila_1_axis_data_fifo_0_axis_data_count_11[11:11],u_ila_1_axis_data_fifo_0_axis_data_count_12[11:11],u_ila_1_axis_data_fifo_0_axis_data_count_13[11:11],u_ila_1_axis_data_fifo_0_axis_data_count_14[11:11],u_ila_1_axis_data_fifo_0_axis_data_count_15[11:11],u_ila_1_axis_data_fifo_0_axis_data_count_16[11:11],u_ila_1_axis_data_fifo_0_axis_data_count_17[11:11],u_ila_1_axis_data_fifo_0_axis_data_count_18[11:11],u_ila_1_axis_data_fifo_0_axis_data_count_19[11:11],u_ila_1_axis_data_fifo_0_axis_data_count_20[11:11],u_ila_1_axis_data_fifo_0_axis_data_count[11:11],i_system_wrapper/system_i/csi2_d_phy_rx_0_RX_MIPI_PPI_DL1_RXDATAHS[7:0],i_system_wrapper/system_i/csi_to_axis_0/U0/parser_inst/packet_size_1[0:0],u_ila_1_packet_size[1:1],i_system_wrapper/system_i/csi_to_axis_0/U0/parser_inst/packet_size[15:2],i_system_wrapper/system_i/axis_data_fifo_0_M_AXIS_TLAST,i_system_wrapper/system_i/axis_data_fifo_0_M_AXIS_TREADY,i_system_wrapper/system_i/axis_data_fifo_0_M_AXIS_TUSER,i_system_wrapper/system_i/axis_data_fifo_0_M_AXIS_TVALID,u_ila_1_axis_data_fifo_0_s_axis_tready,u_ila_1_csi2_d_phy_rx_0_RX_MIPI_PPI_CL_ENABLE_1,u_ila_1_csi2_d_phy_rx_0_RX_MIPI_PPI_CL_RXCLKACTIVEHS,u_ila_1_csi2_d_phy_rx_0_RX_MIPI_PPI_CL_STOPSTATE,u_ila_1_csi2_d_phy_rx_0_RX_MIPI_PPI_CL_ENABLE_2,u_ila_1_csi2_d_phy_rx_0_RX_MIPI_PPI_DL0_RXACTIVEHS_1,u_ila_1_csi2_d_phy_rx_0_RX_MIPI_PPI_DL0_RXSYNCHS,u_ila_1_csi2_d_phy_rx_0_RX_MIPI_PPI_DL0_RXACTIVEHS,u_ila_1_csi2_d_phy_rx_0_RX_MIPI_PPI_CL_ENABLE_3,u_ila_1_csi2_d_phy_rx_0_RX_MIPI_PPI_DL1_RXACTIVEHS_1,u_ila_1_csi2_d_phy_rx_0_RX_MIPI_PPI_DL1_RXSYNCHS,u_ila_1_csi2_d_phy_rx_0_RX_MIPI_PPI_DL1_RXACTIVEHS,u_ila_1_csi2_d_phy_rx_0_RX_MIPI_PPI_CL_ENABLE_4,u_ila_1_csi2_d_phy_rx_0_RX_MIPI_PPI_DL2_RXACTIVEHS_1,u_ila_1_csi2_d_phy_rx_0_RX_MIPI_PPI_DL2_RXSYNCHS,u_ila_1_csi2_d_phy_rx_0_RX_MIPI_PPI_DL2_RXACTIVEHS,u_ila_1_csi2_d_phy_rx_0_RX_MIPI_PPI_CL_ENABLE,u_ila_1_csi2_d_phy_rx_0_RX_MIPI_PPI_DL3_RXACTIVEHS_1,u_ila_1_csi2_d_phy_rx_0_RX_MIPI_PPI_DL3_RXSYNCHS,u_ila_1_csi2_d_phy_rx_0_RX_MIPI_PPI_DL3_RXACTIVEHS,i_system_wrapper/system_i/csi_to_axis_0_m_axis_tlast,i_system_wrapper/system_i/csi_to_axis_0_m_axis_tuser,i_system_wrapper/system_i/csi_to_axis_0_m_axis_tvalid,i_system_wrapper/system_i/csi_to_axis_0/U0/parser_inst/packet_id_reg_n_0__1[0:0],i_system_wrapper/system_i/csi_to_axis_0/U0/parser_inst/packet_id_reg_n_0__2[1:1],i_system_wrapper/system_i/csi_to_axis_0/U0/parser_inst/packet_id_reg_n_0__3[2:2],i_system_wrapper/system_i/csi_to_axis_0/U0/parser_inst/packet_id_reg_n_0__4[3:3],i_system_wrapper/system_i/csi_to_axis_0/U0/parser_inst/packet_id_reg_n_0__5[4:4],i_system_wrapper/system_i/csi_to_axis_0/U0/parser_inst/packet_id_reg_n_0__6[5:5],i_system_wrapper/system_i/csi_to_axis_0/U0/parser_inst/packet_id_reg_n_0__7[6:6],i_system_wrapper/system_i/csi_to_axis_0/U0/parser_inst/packet_id_reg_n_0_[7:7],i_system_wrapper/system_i/csi_to_axis_0/U0/parser_inst/start_of_frame,i_system_wrapper/system_i/csi_to_axis_0/U0/parser_inst/start_of_line
0,0,0,0,1,0091,ffdfffff,0504bd06,15,0,136,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0124,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
1,1,0,0,1,0091,ffdfffff,0504bd06,31,0,136,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0124,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
2,2,0,0,1,0091,ffdfffff,0504bd06,254,0,168,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0124,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
3,3,0,0,1,0091,ffdfffff,0504bd06,252,0,138,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0124,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
4,4,0,0,1,0091,ffdfffff,0504bd06,248,0,136,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0124,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
5,5,0,0,1,0091,ffdfffff,0504bd06,225,0,136,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0124,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
6,6,0,0,1,0091,ffdfffff,0504bd06,207,0,138,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0124,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
7,7,0,0,1,0091,ffdfffff,0504bd06,31,0,136,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0124,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
8,8,0,0,1,0091,ffdfffff,0504bd06,14,0,136,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0124,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
9,9,0,0,1,0091,ffdfffff,0504bd06,254,0,168,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0124,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
10,10,0,0,1,0091,ffdfffff,0504bd06,252,0,138,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0124,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
11,11,0,0,1,0091,ffdfffff,0504bd06,240,0,136,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0124,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
12,12,0,0,1,0091,ffdfffff,0504bd06,224,0,136,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0124,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
13,13,0,0,1,0091,ffdfffff,0504bd06,207,0,170,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0124,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
14,14,0,0,1,0091,ffdfffff,0504bd06,31,0,8,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0124,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
15,15,0,0,1,0091,ffdfffff,0504bd06,28,0,136,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0124,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
16,16,0,0,1,0091,ffdfffff,0504bd06,254,0,168,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0124,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
