DL3_RXDATAHS[7:0],DL2_RXDATAHS[7:0],DL0_RXDATAHS[7:0],DL1_RXDATAHS[7:0],DL0_RXSYNCHS,DL0_RXACTIVE,DL1_RXSYNCHS,DL1_RXACTIVEHS,DL2_RXSYNCH,DL2_RXACTIVEHS,DL3_RXSYNCHS,DL3_RXACTIVEHS,DL3_RXACTIVEHS
15,0,136,4,0,0,0,0,0,0,0,0,0
31,0,136,128,0,0,0,0,0,0,0,0,0
254,0,168,0,0,0,0,0,0,0,0,0,0
252,0,138,78,0,0,0,0,0,0,0,0,0
248,0,136,0,0,0,0,0,0,0,0,0,0
225,0,136,8,0,0,0,0,0,0,0,0,0
207,0,138,224,0,0,0,0,0,0,0,0,0
31,0,136,4,0,0,0,0,0,0,0,0,0
14,0,136,128,0,0,0,0,0,0,0,0,0
254,0,168,0,0,0,0,0,0,0,0,0,0
252,0,138,78,0,0,0,0,0,0,0,0,0
240,0,136,0,0,0,0,0,0,0,0,0,0
224,0,136,0,0,0,0,0,0,0,0,0,0
207,0,170,224,0,0,0,0,0,0,0,0,0
31,0,8,4,0,0,0,0,0,0,0,0,0
28,0,136,128,0,0,0,0,0,0,0,0,0
254,0,168,0,0,0,0,0,0,0,0,0,0
252,0,138,78,0,0,0,0,0,0,0,0,0
240,0,128,0,0,0,0,0,0,0,0,0,0
225,0,136,8,0,0,0,0,0,0,0,0,0
207,0,170,224,0,0,0,0,0,0,0,0,0
239,0,136,4,0,0,0,0,0,0,0,0,0
15,0,136,128,0,0,0,0,0,0,0,0,0
254,0,168,0,0,0,0,0,0,0,0,0,0
252,0,138,78,0,0,0,0,0,0,0,0,0
240,0,136,0,0,0,0,0,0,0,0,0,0
225,0,136,8,0,0,0,0,0,0,0,0,0
207,0,170,224,0,0,0,0,0,0,0,0,0
31,0,136,4,0,0,0,0,0,0,0,0,0
31,0,136,128,0,0,0,0,0,0,0,0,0
254,0,168,0,0,0,0,0,0,0,0,0,0
252,0,138,78,0,0,0,0,0,0,0,0,0
248,0,136,0,0,0,0,0,0,0,0,0,0
225,0,136,8,0,0,0,0,0,0,0,0,0
207,0,170,224,0,0,0,0,0,0,0,0,0
79,0,136,4,0,0,0,0,0,0,0,0,0
31,0,136,128,0,0,0,0,0,0,0,0,0
254,0,168,0,0,0,0,0,0,0,0,0,0
252,0,138,78,0,0,0,0,0,0,0,0,0
254,0,136,0,0,0,0,0,0,0,0,0,0
225,0,136,0,0,0,0,0,0,0,0,0,0
207,0,170,224,0,0,0,0,0,0,0,0,0
15,0,136,4,0,0,0,0,0,0,0,0,0
31,0,136,0,0,0,0,0,0,0,0,0,0
30,0,168,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,1,0,0,0,0
0,0,0,0,1,1,1,0,1,1,1,0,0
0,0,0,0,0,1,1,1,0,1,1,1,1
0,0,0,0,0,1,0,1,0,1,0,1,1
0,0,128,4,0,1,0,1,0,1,0,1,1
128,0,128,0,0,1,0,1,0,1,0,1,1
0,0,136,0,0,1,0,1,0,1,0,1,1
0,0,0,0,0,1,0,1,0,1,0,1,1
0,0,0,0,0,1,0,1,0,1,0,1,1
0,0,0,0,0,1,0,1,0,1,0,1,1
0,0,0,0,0,1,0,1,0,1,0,1,1
0,0,0,0,0,1,0,1,0,1,0,1,1
0,0,0,0,0,1,0,1,0,1,0,1,1
0,0,0,0,0,1,0,1,0,1,0,1,1
0,0,0,0,0,1,0,1,0,1,0,1,1
0,0,0,0,0,1,0,1,0,1,0,1,1
0,0,0,0,0,1,0,1,0,1,0,1,1
128,0,0,0,0,1,0,1,0,1,0,1,1
187,184,184,46,0,1,0,1,0,1,0,1,1
65,6,43,228,0,1,0,1,0,1,0,1,1
64,3,3,0,0,1,0,1,0,1,0,1,1
48,4,89,1,0,1,0,1,0,1,0,1,1
64,4,3,255,0,1,0,1,0,1,0,1,1
144,200,3,192,0,1,0,1,0,1,0,1,1
53,3,3,192,0,1,0,1,0,1,0,1,1
80,5,4,0,0,1,0,1,0,1,0,1,1
64,3,196,1,0,1,0,1,0,1,0,1,1
64,3,3,215,0,1,0,1,0,1,0,1,1
128,164,4,0,0,1,0,1,0,1,0,1,1
60,3,3,193,0,1,0,1,0,1,0,1,1
48,5,4,0,0,1,0,1,0,1,0,1,1
64,4,253,65,0,1,0,1,0,1,0,1,1
64,4,3,57,0,1,0,1,0,1,0,1,1
0,106,4,1,0,1,0,1,0,1,0,1,1
73,3,4,1,0,1,0,1,0,1,0,1,1
48,3,4,1,0,1,0,1,0,1,0,1,1
64,4,52,1,0,1,0,1,0,1,0,1,1
64,3,3,56,0,1,0,1,0,1,0,1,1
96,87,4,1,0,1,0,1,0,1,0,1,1
66,4,4,1,0,1,0,1,0,1,0,1,1
48,4,4,1,0,1,0,1,0,1,0,1,1
64,3,149,1,0,1,0,1,0,1,0,1,1
64,3,3,47,0,1,0,1,0,1,0,1,1
16,80,3,1,0,1,0,1,0,1,0,1,1
65,4,4,1,0,1,0,1,0,1,0,1,1
64,5,4,1,0,1,0,1,0,1,0,1,1
64,4,96,65,0,1,0,1,0,1,0,1,1
64,5,4,17,0,1,0,1,0,1,0,1,1
192,138,4,1,0,1,0,1,0,1,0,1,1
65,4,4,65,0,1,0,1,0,1,0,1,1
64,4,4,1,0,1,0,1,0,1,0,1,1
64,4,40,1,0,1,0,1,0,1,0,1,1
64,4,4,25,0,1,0,1,0,1,0,1,1
16,70,4,1,0,1,0,1,0,1,0,1,1
72,4,4,1,0,1,0,1,0,1,0,1,1
64,3,5,193,0,1,0,1,0,1,0,1,1
48,4,24,128,0,1,0,1,0,1,0,1,1
48,4,4,226,0,1,0,1,0,1,0,1,1
160,220,4,0,0,1,0,1,0,1,0,1,1
67,4,4,1,0,1,0,1,0,1,0,1,1
48,3,4,1,0,1,0,1,0,1,0,1,1
48,4,166,65,0,1,0,1,0,1,0,1,1
