Sample in Buffer,Sample in Window,TRIGGER,design_1_i/axi_vdma_0_M_AXI_S2MM_AWADDR[31:0],design_1_i/axi_vdma_0_M_AXI_S2MM_AWBURST[0:0],design_1_i/axi_vdma_0_M_AXI_S2MM_AWLEN[7:0],design_1_i/axi_vdma_0_M_AXI_S2MM_BRESP[1:0],design_1_i/axi_vdma_0_M_AXI_S2MM_WDATA[63:0],design_1_i/v_tpg_0_m_axis_video_TDATA[47:0],design_1_i/axi_vdma_0_M_AXI_S2MM_WSTRB[7:0],design_1_i/axi_intc_0_irq,design_1_i/axi_vdma_0_M_AXI_S2MM_AWREADY,u_ila_0_axi_vdma_0_M_AXI_S2MM_AWVALID,design_1_i/axi_vdma_0_M_AXI_S2MM_BREADY,design_1_i/axi_vdma_0_M_AXI_S2MM_BVALID,design_1_i/axi_vdma_0_M_AXI_S2MM_WLAST,design_1_i/axi_vdma_0_M_AXI_S2MM_WREADY,design_1_i/axi_vdma_0_M_AXI_S2MM_WVALID,design_1_i/v_tpg_0_m_axis_video_TLAST,design_1_i/v_tpg_0_m_axis_video_TREADY
0,0,0,00828800,1,7f,0,fd5929fd582afd58,ccb200ccb100,ff,1,0,1,1,0,0,1,1,0,1
1,1,0,00828800,1,7f,0,5a28fc5a29fc5929,cbb200ccb200,ff,1,0,1,1,0,0,1,1,0,1
2,2,0,00828800,1,7f,0,28fc5b28fc5a28fc,cbb300cbb300,ff,1,0,1,1,0,0,1,1,0,1
3,3,0,00828800,1,7f,0,fc5c27fc5b27fc5b,cab400cab300,ff,1,0,1,1,0,0,1,1,0,1
4,4,0,00828800,1,7f,0,5d26fc5d26fc5c27,cab400cab400,ff,1,0,1,1,0,0,1,1,0,1
5,5,0,00828800,1,7f,0,25fb5e26fb5d26fc,c9b500c9b500,ff,1,0,1,1,0,1,1,1,0,1
6,6,0,00828800,1,7f,0,11ee8011ee8011ee,c8b600c9b600,ff,1,0,1,1,0,0,0,0,0,1
7,7,0,00828800,1,7f,0,11ee8011ee8011ee,c8b700c8b600,ff,1,0,1,1,0,0,0,1,0,1
8,8,0,00828800,1,7f,0,11ee8011ee8011ee,c7b700c7b700,ff,1,0,1,1,0,0,0,1,0,1
9,9,0,00828800,1,7f,0,11ee8011ee8011ee,c6b800c7b800,ff,1,0,1,1,0,0,0,1,0,1
10,10,0,00828800,1,7f,0,11ee8011ee8011ee,c6b900c6b800,ff,1,0,1,1,0,0,0,1,0,1
11,11,0,00828800,1,7f,0,11ee8011ee8011ee,c5b900c5b900,ff,1,0,1,1,0,0,0,1,0,1
12,12,0,00828800,1,7f,0,11ee8011ee8011ee,c4ba00c5ba00,ff,1,0,1,1,0,0,0,1,0,1
13,13,0,00828800,1,7f,0,11ee8011ee8011ee,c4bb00c4ba00,ff,1,0,1,1,0,0,0,1,0,1
14,14,0,00828800,1,7f,0,11ee8011ee8011ee,c3bb00c3bb00,ff,1,0,1,1,0,0,0,1,0,1
15,15,0,00828800,1,7f,0,11ee8011ee8011ee,c2bc00c3bc00,ff,1,0,1,1,0,0,0,1,0,1
16,16,0,00828800,1,7f,0,11ee8011ee8011ee,c2bd00c2bd00,ff,1,0,1,1,0,0,0,1,0,1
17,17,0,00828800,1,7f,0,11ee8011ee8011ee,c1be00c1bd00,ff,1,0,1,1,0,0,0,1,0,1
18,18,0,00828800,1,7f,0,11ee8011ee8011ee,c0be00c1be00,ff,1,0,1,1,0,0,0,1,0,1
19,19,0,00828800,1,7f,0,11ee8011ee8011ee,c0bf00c0bf00,ff,1,0,1,1,0,0,0,1,0,1
20,20,0,00828800,1,7f,0,11ee8011ee8011ee,bfc000bfbf00,ff,1,0,1,1,0,0,0,1,0,1
21,21,0,00828800,1,7f,0,11ee8011ee8011ee,bec000bfc000,ff,1,0,1,1,0,0,0,1,0,1
22,22,0,00828800,1,7f,0,11ee8011ee8011ee,bec100bec100,ff,1,0,1,1,1,0,0,1,0,1
23,23,0,00828800,1,7f,0,11ee8011ee8011ee,bdc200bdc100,ff,1,0,1,1,0,0,0,1,0,1
24,24,0,00828800,1,7f,0,11ee8011ee8011ee,bcc200bdc200,ff,1,0,1,1,0,0,0,1,0,1
25,25,0,00828800,1,7f,0,11ee8011ee8011ee,bbc300bcc300,ff,1,0,1,1,0,0,0,1,0,1
26,26,0,00828800,1,7f,0,11ee8011ee8011ee,bbc400bbc300,ff,1,0,1,1,0,0,0,1,0,1
27,27,0,00828800,1,7f,0,11ee8011ee8011ee,bac400bac400,ff,1,0,1,1,0,0,0,1,0,1
28,28,0,00828800,1,7f,0,11ee8011ee8011ee,b9c500bac500,ff,1,0,1,1,0,0,0,1,0,1
29,29,0,00828800,1,7f,0,11ee8011ee8011ee,b9c600b9c500,ff,1,0,1,1,0,0,0,1,0,1
